text,"polarity(0: neutral, 1:negative, 2:positive)"
日本でこのスタイル 流行ってほしいな,0
選ばれたのは綾鷹でした,0
綾鷹杯このメンバーででます(^^)よろしくお願いします(^^♪,2
綾鷹しかなかった,1
イエモンのライブチケット買った！！最近めちゃハマってる♬,2
"あれ？ちび昨日アークしてたけど、イエモン垢のか？ってなった。
まいっかw",0
イエモンしこたま歌うぞ,2
今日は新宿のYOSHIKIさんに会うことができました！,2
「HIDEやTAIJIの素晴らしさは、XJAPANが頑張れば頑張るほど伝わる」世代を超えて2人を敬う人が増えてる証拠がここにあるんですね。,2
でもこういう爽やかで大人しそうな奴に限ってモラハラ男であることを私は知っている,1
モラハラ夫の名言『お前のせいで俺がイライラする』※それなら別れてくれたらいいのに。,1
理系院卒が優良物件というけれど実際のところ環境の影響で大人しくなってるだけでモラハラ系拗らせ男子とか無視できない程度に多い,1
ああでもしなきゃ結婚できないくらいモラハラが日本にはわんさかいた。今も、たくさん。,1
坂本おめでとう！生まれてきてくれてありがとう,2
すっごく遅れたけどひなたお誕生日おめでとう！！！⸜(*ˊᵕˋ* )⸝,2
伊吹亜門さん、おめでとうございます,2
「カワセミハッグ」,0
しんどいくらい悲しいw,1
待って星型(？)のピュレグミあったわ,2
グミ・チョコレート・パイン,0
レモングミ,0
肉球グミはおいしかったです!,2
グミも止まらん～～！,2
本物に会えて喜ぶモモコさんがかわいすぎる！！！,2
オジャマちゃんに差し入れしたいけど何がいいの？,0
巨大深海魚グミ作ってみた！メガマウスザメ・ダイオウグソクムシ・オウムガイ,2
ピュレグミとまらん,2
よりみちなうなうー　グミかってこー,0
マックシェイクS 無料だから飲んじゃった,0
今日めちゃくちゃメイクうまくいった,2
こないだ、結構美味しいと教えてもらい、そういえばたまに見かけるけど食べた事なかったな…って思って購入。即食べ。,2
タイトル：テトリス,0
全消ししてテトリスうまおになった,2
無事離婚できました！,2
10連休トラブル集、殺意・離婚危機や「BBQ最悪」の声も,1
離婚して子供と会えなくなった経験があります,1
子育てってさー私には限界があるわ,1
今まで付き合ってきた人には、その人の好きなタイプに合わせる事ばかり意識して少しでも良い女にと頑張ってたけどそれが失敗だったと実感。,1
裁判で動かぬ証拠を突きつけ慰謝料請求した途端元に戻りたい償いたい私達が居ないと生きてけないって…再構築の連絡,1